checkpoint,left_to_right_shoulder_slope,left_right_wrist_slope,head_tilt_slope,normalised_shoulder_distance,normalised_wrist_difference,normalised_ankle_difference,normalised_knee_distance,right_knee_lateral_distance_from_center,left_knee_lateral_distance_from_center,right_ankle_lateral_distance_from_center,left_ankle_lateral_distance_from_center,right_wrist_lateral_distance_from_center,left_wrist_lateral_distance_from_center
Lift Progress Up (70%),-0.08679550564135033,-0.07281467630001699,-0.16254950196668466,1.5062971017303628,2.5797238019698177,1.3900563141627627,1.1393671362940279,0.6199111259287049,0.519426746599837,0.6913438359458461,0.6987089379673879,1.3648204709180427,1.208091587654735
Lift Progress Up (80%),-0.08301605041274321,-0.07715306597226682,-0.142337179350394,1.504477985973049,2.5667983000014045,1.4434813813273257,1.1435862563660912,0.628987530657237,0.5131443127278973,0.7319044477150981,0.7115732700095573,1.3659459521787447,1.193246729786462
Lift Progress Up (90%),-0.07858280440260343,-0.097713363601142,-0.14410740546018394,1.4778908345043633,2.391783348503824,1.476489079124901,1.212939399108023,0.5889861828539132,0.6239485740302505,0.6798561650483659,0.7966294472347686,1.1839845658096608,1.1964616469741656
Full Extension,-0.06438523182119085,-0.06126740813154057,-0.09164294800880629,1.482108677270509,2.5827010990686254,1.4917369952409678,1.1761199105486337,0.5462395871131264,0.6298341630885762,0.704028564446995,0.7877047328846484,1.2744791654950536,1.3033882011065465
