checkpoint,left_to_right_shoulder_slope,left_right_wrist_slope,head_tilt_slope,normalised_shoulder_distance,normalised_wrist_difference,normalised_ankle_difference,normalised_knee_distance,right_knee_lateral_distance_from_center,left_knee_lateral_distance_from_center,right_ankle_lateral_distance_from_center,left_ankle_lateral_distance_from_center,right_wrist_lateral_distance_from_center,left_wrist_lateral_distance_from_center
Lift-off,0.03707906381451103,0.06540569464901204,-0.015407205073797494,1.4861068076444213,2.4770247769514806,1.2929729466089062,1.213735215693108,0.7741316838048439,0.4375045577711582,0.828035063969326,0.4649344443103554,1.4663774977293806,1.005365979661161
Lift Progress Up (50%),-0.009693181585560347,0.027081596767388885,-0.04836646662216877,1.4833137781441057,2.4751218488403426,1.2999771419878425,1.212441652336951,0.7340177206536088,0.4784226607334155,0.7693276234122359,0.5306461509077909,1.4246786457352474,1.0495360589319767
Lift Progress Up (60%),-0.01683569021544751,0.02520903799679068,-0.06478843892783259,1.4805433513649562,2.411983935154045,1.3187755147698512,1.2185292655794295,0.714626124032016,0.5038347762679285,0.7549612768271048,0.5638110038713746,1.3674930894645156,1.043724808195212
